"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","PREDDEG","HIGHDEG","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG"
"Buffalo","NY","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,2,"11",5867,3079,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentor","OH",NA,"1",0,1,1,3,3,"21",5214,3660,"-2","-2","-2",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lyndhurst","OH",NA,"1",0,1,1,3,3,"21",5091,3711,"-2","-2","-2",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleveland","OH","Accrediting Commission of Career Schools and Colleges","1",0,1,2,2,3,"21",5027,3745,"8","4","2","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Findlay","OH",NA,"3",1,2,3,3,3,"32",4822,4203,"23","11","6",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atoka","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"43",1949,6200,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durant","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"41",1655,6218,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hugo","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"33",1697,6099,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idabel","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"41",1626,5995,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poteau","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"41",2101,5967,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spiro","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"42",2213,5963,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talihina","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"43",2033,6020,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philadelphia","PA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,2,"11",3930,2474,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Humacao","PR","Accrediting Commission of Career Schools and Colleges","2",0,2,3,3,9,"21",30,1441,"26","11","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Worth","TX","Accrediting Commission of Career Schools and Colleges","1",0,1,3,2,6,"11",1144,6388,"14","10","6","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newport News","VA","Accrediting Commission of Career Schools and Colleges","2",0,2,2,3,5,"12",2796,2728,"9","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norfolk","VA","Accrediting Commission of Career Schools and Colleges","2",0,1,2,3,5,"12",2744,2679,"10","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothell","WA","Northwest Commission on Colleges and Universities","3",0,3,4,1,8,"21",6593,1176,"18","13","12","0","0","0","0","1","0","0","0","0",NA,1174,58,60,56,56,37,40,90,95,66,9,13,9,12,9,15,6,5,10,10,13,7,128
"Tacoma","WA","Northwest Commission on Colleges and Universities","3",0,3,4,1,8,"12",6519,1274,"18","13","12","0","0","0","0","1","0","0","0","0",NA,1284,50,54,43,46,27,30,79,75,49,8,11,8,10,7,12,6,5,8,9,10,7,83
"Salt Lake City","UT","Higher Learning Commission","3",0,3,4,3,7,"21",4413,359,"19","0","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coachella","CA","Council on Occupational Education","1",0,1,1,2,8,"21",1469,510,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxnard","CA","Council on Occupational Education","1",0,1,1,2,8,"12",1889,968,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Maria","CA","Council on Occupational Education","1",0,1,1,2,8,"12",2076,1028,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas","TX","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"11",1193,6273,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spirit Lake","IA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,4,"33",6075,6025,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loveland","CO","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,7,"21",4240,152,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Van Nuys","CA",NA,"2",0,2,2,2,8,"11",1876,918,"9","4","1","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guaynabo","PR",NA,"3",0,3,4,3,9,"13",102,1490,"29","0","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Spring","TX","Southern Association of Colleges and Schools Commission on Colleges","2",0,2,2,1,6,"32",958,25,"1","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richmond","VA","Accrediting Council for Independent Colleges and Schools","1",0,1,2,3,5,"21",2909,2924,"10","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Temple","TX","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"13",866,6417,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooklyn","NY","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,2,"11",4344,2190,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston","TX","Council on Occupational Education","1",0,1,1,3,6,"11",603,6054,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hattiesburg","MS","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,5,"13",890,5264,"10","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruidoso","NM","Higher Learning Commission","3",0,1,2,1,6,"33",1308,178,"3","1","1","0","0","0","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario","CA","Accrediting Council for Continuing Education & Training","1",0,1,1,3,8,"12",1774,660,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Encino","CA","Accrediting Council for Continuing Education & Training","1",0,1,1,3,8,"11",1863,932,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winter Park","FL","Higher Learning Commission","2",0,2,4,2,5,"21",474,3652,"26","9","6","0","0","0","0","0","1","0","0","0",NA,1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pensacola","FL",NA,"1",0,1,2,3,5,"21",828,4876,"10","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tampa","FL",NA,"2",0,2,4,2,5,"21",451,3691,"23","0","6","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albuquerque","NM","Higher Learning Commission","3",0,3,4,3,6,"11",2129,210,"30","10","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tempe","AZ","Accrediting Bureau of Health Education Schools","1",0,1,2,3,6,"12",1328,376,"13","3","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Springfield","MO",NA,"2",0,1,2,3,4,"12",2797,5811,"7","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joplin","MO",NA,"2",0,1,2,3,4,"13",2777,5938,"7","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas City","MO",NA,"2",0,2,2,3,4,"11",3534,5936,"7","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yauco","PR","Middle States Commission on Higher Education","2",0,2,3,3,9,"23",21,1555,"26","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denver","CO","Accrediting Bureau of Health Education Schools","1",0,1,2,3,7,"21",3834,136,"10","4","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corpus Christi","TX","Council on Occupational Education","1",0,1,1,3,6,"11",381,6410,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stigler","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"33",2221,6023,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albuquerque","NM","Higher Learning Commission","3",0,3,4,3,6,"11",2195,209,"22","11","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Petersburg","FL","Southern Association of Colleges and Schools Commission on Colleges","2",0,2,2,3,5,"11",394,4019,"10","2","2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Antonio","TX","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,2,3,6,"11",549,6593,"26","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gainesville","FL","Accrediting Bureau of Health Education Schools","2",0,2,3,2,5,"22",581,3945,"26","7","6","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale","AZ","Higher Learning Commission","3",0,3,4,1,6,"11",1431,428,"19","13","12","0","0","0","0","0","1","0","0","0",NA,1164,66,67,52,56,NA,NA,103,93,NA,11,12,11,12,9,12,NA,NA,10,11,11,NA,131
"Westport","CT","Commission on Massage Therapy Accreditation","1",0,1,1,3,1,"21",4872,1957,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malden","MA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,1,"21",5672,1664,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omaha","NE",NA,"2",0,1,3,2,4,"11",4905,6193,"10","4","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairview","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"43",2597,6565,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harlingen","TX","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"13",293,6477,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Federal Way","WA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,8,"21",6529,1221,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashwaubenon","WI","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,3,"22",6234,5118,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Wayne","IN",NA,"3",1,2,3,3,3,"11",4846,4554,"26","11","6",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pharr","TX","Council on Occupational Education","1",0,1,1,3,6,"21",295,6534,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEADVILLE","PA","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,2,"41",5151,3369,"8","4","1","0","0","0","0","0","0","0","0","0",NA,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol","RI","New England Commission on Higher Education","3",0,4,4,2,1,"21",5166,1726,"31","0","18","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlanta","GA",NA,"3",1,2,2,3,5,"21",1585,4373,"9","4","2",NA,NA,NA,NA,NA,"NU",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rochester","NY","Middle States Commission on Higher Education","2",0,2,2,3,2,"21",6001,2950,"9","2","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Hollywood","CA",NA,"3",0,3,3,3,8,"11",1859,896,"30","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Memphis","TN","Accrediting Commission of Career Schools and Colleges","1",0,1,3,2,5,"11",2118,5344,"23","10","6","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waterbury","CT","Accrediting Bureau of Health Education Schools","1",0,1,1,3,1,"22",5107,1909,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morrow","GA","Accrediting Council for Continuing Education & Training","1",0,1,1,3,5,"21",1414,4376,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raleigh","NC","Council on Occupational Education","1",0,1,1,3,5,"21",2378,3051,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin","TX","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"11",763,6490,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York","NY","Accrediting Commission of Career Schools and Colleges","2",0,2,4,3,2,"11",4477,2229,"26","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Miami","FL","New England Commission on Higher Education","3",0,3,3,2,5,"21",242,3337,"22","12","11","0","0","0","0","0","0","0","0","0",NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Wayne","IN","Higher Learning Commission","3",0,3,4,2,3,"11",4894,4555,"18","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Las Vegas","NV","Accrediting Bureau of Health Education Schools","1",0,1,1,3,8,"11",2589,498,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanover","PA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,2,"13",3830,2819,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dunwoody","GA","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"21",1638,4372,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwood","OH","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,3,"21",3528,4433,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pryor","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"42",2612,6084,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Mifflin","PA","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,2,"21",4200,3216,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aguadilla","PR","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,9,"21",132,1567,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arlington","VA",NA,"3",0,3,4,3,5,"12",3371,2854,"17","5","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Angelo","TX","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"12",892,4,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caguas","PR","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,9,"13",46,1463,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ponce","PR","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,9,"12",20,1546,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chesapeake","VA","Accrediting Commission of Career Schools and Colleges","2",0,2,2,3,5,"21",2693,2676,"26","6","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honolulu","HI","Higher Learning Commission","3",0,3,4,3,8,"11",159,1428,"20","11","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","FL",NA,"1",0,1,1,3,5,"21",214,3448,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherry Hill","NJ","Accrediting Council for Continuing Education & Training","1",0,1,1,3,2,"21",3898,2438,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntsville","AL",NA,"1",0,1,3,3,5,"12",2005,4778,"23","7","6","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mahwah","NJ","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,2,"21",4832,2294,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afton","OK","Oklahoma State Board of Career and Technology Education","1",0,1,1,1,6,"42",2685,6013,"-2","-2","-2","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ","Higher Learning Commission","3",0,3,4,1,6,"11",1301,296,"18","13","13","0","0","0","0","0","0","0","0","0",NA,1061,70,71,64,68,NA,NA,109,111,NA,12,15,12,14,12,15,NA,NA,12,13,14,NA,190
