"CITY","STABBR","ACCREDAGENCY","SCH_DEG","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","PREDDEG","HIGHDEG","CONTROL","REGION","LATITUDE","LONGITUDE"
"Salisbury","MD","Middle States Commission on Higher Education","2","41","7","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,2,3181,2555
"Cambridge","MA","New England Commission on Higher Education","3","12","29","15","10","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5646,1659
"Springfield","MA","New England Commission on Higher Education","3","12","18","11","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5475,1844
"Amherst","MA","New England Commission on Higher Education","3","21","21","14","11","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5649,1835
"Paxton","MA","New England Commission on Higher Education","3","41","19","9","10","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5599,1808
"Marlborough","MA","Accreditation Commission for Education in Nursing","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,1,5644,1786
"Worcester","MA","New England Commission on Higher Education","3","12","19","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5569,1803
"Babson Park","MA","New England Commission on Higher Education","3","21","29","14","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5571,1729
"Worcester","MA","Accrediting Commission of Career Schools and Colleges","1","12","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5546,1792
"Boston","MA","Transnational Association of Christian Colleges and Schools","3","11","24","11","8","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5531,1687
"Longmeadow","MA","New England Commission on Higher Education","3","21","18","9","9","0","0","0","0","0","0","0","0","1",0,3,4,2,1,5431,1853
"Boston","MA","New England Commission on Higher Education","3","11","22","9","6","0","0","0","0","0","0","0","0","0",0,3,3,3,1,5628,1665
"Worcester","MA","New England Commission on Higher Education","3","12","22","13","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5547,1800
"Waltham","MA","New England Commission on Higher Education","3","13","18","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5659,1721
"Boston","MA","New England Commission on Higher Education","3","11","30","9","12","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5619,1675
"Pittsfield","MA","New England Commission on Higher Education","2","41","4","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5688,1955
"Boston","MA","New England Commission on Higher Education","3","11","30","11","6","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5620,1670
"Brookline","MA","New England Commission on Higher Education","3","21","26","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,1,5608,1703
"Chestnut Hill","MA","New England Commission on Higher Education","3","13","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5604,1711
"Boston","MA","New England Commission on Higher Education","3","11","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5625,1686
"Waltham","MA","New England Commission on Higher Education","3","13","15","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5643,1724
"Bridgewater","MA","New England Commission on Higher Education","3","21","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5404,1632
"Fall River","MA","New England Commission on Higher Education","2","21","1","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5223,1695
"Brockton","MA","Accreditation Commission for Education in Nursing","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,2,1,5456,1634
"Boston","MA","New England Commission on Higher Education","2","11","1","1","4","0","0","0","0","1","0","0","0","0",0,2,2,1,1,5651,1657
"Boston","MA","New England Commission on Higher Education","3","11","18","5","9","0","0","0","0","0","1","0","0","0",0,3,4,2,1,5657,1660
"West Barnstable","MA","New England Commission on Higher Education","2","13","2","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5191,1608
"Woburn","MA","Accrediting Commission of Career Schools and Colleges","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5704,1704
"Milton","MA","New England Commission on Higher Education","2","21","26","5","6","0","0","0","0","0","0","0","0","0",0,2,3,2,1,5540,1649
"Worcester","MA","New England Commission on Higher Education","3","12","16","12","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5528,1802
"Milton","MA","New England Commission on Higher Education","3","21","19","10","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5517,1691
"Franklin","MA","New England Commission on Higher Education","2","21","23","10","11","0","0","0","0","0","0","0","0","0",0,2,3,2,1,5455,1743
"Fall River","MA","Council on Occupational Education","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,1,5198,1699
"Concord","MA","Accrediting Commission of Career Schools and Colleges","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5689,1742
"Quincy","MA","New England Commission on Higher Education","3","21","22","11","8","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5550,1639
"Boston","MA","New England Commission on Higher Education","3","11","18","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5630,1653
"Boston","MA","New England Commission on Higher Education","3","11","21","14","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5613,1684
"Beverly","MA","New England Commission on Higher Education","3","21","18","10","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5740,1623
"Fall River","MA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5196,1708
"Boston","MA","New England Commission on Higher Education","3","11","22","5","9","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5635,1662
"Fitchburg","MA","New England Commission on Higher Education","3","22","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5751,1794
"Framingham","MA","New England Commission on Higher Education","3","13","18","11","13","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5572,1753
"Boston","MA","New England Commission on Higher Education","2","11","28","11","6","0","0","0","0","1","0","0","0","0",0,2,3,1,1,5618,1658
"Wenham","MA","New England Commission on Higher Education","3","21","21","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5754,1622
"South Hamilton","MA","Commission on Accrediting of the Association of Theological Schools","3","21","24","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,1,5766,1624
"Greenfield","MA","New England Commission on Higher Education","2","32","4","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5762,1861
"Amherst","MA","New England Commission on Higher Education","3","21","21","12","11","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5594,1841
"Cambridge","MA","New England Commission on Higher Education","3","12","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5650,1694
"Newton Centre","MA","New England Commission on Higher Education","3","13","24","0","6","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5593,1713
"Brookline","MA","New England Commission on Higher Education","3","21","24","13","8","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5585,1702
"Worcester","MA","New England Commission on Higher Education","3","12","21","14","11","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5516,1797
"Holyoke","MA","New England Commission on Higher Education","2","21","1","2","3","0","0","0","0","0","1","0","0","0",0,2,2,1,1,5500,1866
"Newton","MA","New England Commission on Higher Education","3","13","19","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5615,1723
"Medford","MA","Accreditation Commission for Education in Nursing","2","21","10","1","1","0","0","0","0","0","0","0","0","0",0,2,2,2,1,5670,1688
"Cambridge","MA","New England Commission on Higher Education","3","12","17","9","13","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5656,1692
"Lowell","MA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5772,1733
"Lowell","MA","New England Commission on Higher Education","3","21","16","9","16","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5777,1739
"Amherst","MA","New England Commission on Higher Education","3","21","15","15","17","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5660,1839
"Boston","MA","New England Commission on Higher Education","3","11","16","9","15","0","0","0","0","1","0","0","0","0",0,3,4,1,1,5582,1641
"Wellesley Hills","MA","New England Commission on Higher Education","2","21","2","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5581,1728
"Boston","MA","New England Commission on Higher Education","3","11","26","13","13","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5606,1683
"Boston","MA","New England Commission on Higher Education","3","11","30","13","11","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5607,1680
"Cambridge","MA","New England Commission on Higher Education","3","12","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5638,1677
"Buzzards Bay","MA","New England Commission on Higher Education","3","22","22","12","11","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5234,1615
"Worcester","MA","New England Commission on Higher Education","3","12","25","0","18","0","0","0","0","0","0","0","0","0",0,4,4,1,1,5554,1790
"Newton","MA","New England Commission on Higher Education","3","13","26","5","6","0","0","0","0","0","0","0","0","0",0,4,4,2,1,5570,1718
"Quincy","MA","Accrediting Commission of Career Schools and Colleges","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5525,1635
"Brockton","MA","New England Commission on Higher Education","2","21","7","2","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5447,1633
"North Andover","MA","New England Commission on Higher Education","3","21","18","10","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5787,1698
"Boston","MA","New England Commission on Higher Education","3","11","26","0","9","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5652,1644
"Bedford","MA","New England Commission on Higher Education","2","21","1","1","3","0","0","0","0","1","0","0","0","0",0,2,2,1,1,5727,1730
"Beverly","MA","New England Commission on Higher Education","3","21","30","10","8","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5738,1626
"South Hadley","MA","New England Commission on Higher Education","3","21","21","14","11","0","0","0","0","0","0","0","0","1",0,3,4,2,1,5536,1851
"Gardner","MA","New England Commission on Higher Education","2","41","4","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5755,1812
"New Bedford","MA","National Accrediting Commission of Career Arts and Sciences","1","22","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5180,1629
"Boston","MA","New England Commission on Higher Education","3","11","30","14","8","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5614,1671
"Boston","MA","New England Commission on Higher Education","3","11","26","0","18","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5629,1672
"Boston","MA","American Bar Association","3","11","31","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,1,5623,1654
"Waltham","MA","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5648,1722
"Dudley","MA","New England Commission on Higher Education","3","21","29","10","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5424,1809
"North Adams","MA","New England Commission on Higher Education","3","31","21","13","11","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5801,1927
"Boston","MA","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,2,1,5641,1645
"Danvers","MA","New England Commission on Higher Education","2","21","4","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5753,1631
"Boston","MA","New England Commission on Higher Education","3","11","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5612,1674
"Haverhill","MA","New England Commission on Higher Education","2","21","4","1","3","0","0","0","0","0","1","0","0","0",0,2,2,1,1,5846,1643
"Chicopee","MA","New England Commission on Higher Education","3","21","19","11","10","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5486,1856
"Chestnut Hill","MA","New England Commission on Higher Education","3","21","21","15","8","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5588,1707
"Quincy","MA","New England Commission on Higher Education","2","21","5","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5529,1637
"Worcester","MA","New England Commission on Higher Education","2","12","4","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,1,5583,1795
"Weston","MA","New England Commission on Higher Education","3","21","26","10","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5626,1734
"Roxbury Crossing","MA","New England Commission on Higher Education","2","11","1","1","2","0","0","0","0","0","0","0","0","0",1,2,2,1,1,5598,1679
"Salem","MA","New England Commission on Higher Education","3","21","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5714,1628
"Boston","MA","New England Commission on Higher Education","3","11","17","14","14","0","0","0","0","0","0","0","0","1",0,3,4,2,1,5609,1681
"Great Barrington","MA","New England Commission on Higher Education","2","32","23","12","8","0","0","0","0","0","0","0","0","0",0,2,3,2,1,5505,1959
"Northampton","MA","New England Commission on Higher Education","3","21","21","14","11","0","0","0","0","0","0","0","0","1",0,3,4,2,1,5587,1862
"South Easton","MA","Council on Occupational Education","1","41","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,1,5415,1668
"Springfield","MA","New England Commission on Higher Education","3","12","18","12","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5467,1843
"Springfield","MA","New England Commission on Higher Education","2","12","7","2","3","0","0","0","0","0","1","0","0","0",0,2,2,1,1,5472,1852
"North Dartmouth","MA","New England Commission on Higher Education","3","22","16","13","14","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5152,1638
"Easton","MA","New England Commission on Higher Education","3","21","21","12","11","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5434,1667
"Boston","MA","New England Commission on Higher Education","3","11","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5636,1650
"Taunton","MA","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,1,5354,1676
"Medford","MA","New England Commission on Higher Education","3","21","15","14","17","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5663,1693
"Wellesley","MA","New England Commission on Higher Education","3","21","21","14","11","0","0","0","0","0","0","0","0","1",0,3,3,2,1,5566,1732
"Boston","MA","New England Commission on Higher Education","3","11","19","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5605,1678
"Springfield","MA","New England Commission on Higher Education","3","12","17","12","14","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5477,1836
"Westfield","MA","New England Commission on Higher Education","3","21","19","13","14","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5483,1890
"Norton","MA","New England Commission on Higher Education","3","21","21","14","11","0","0","0","0","0","0","0","0","0",0,3,3,2,1,5393,1712
"Williamstown","MA","New England Commission on Higher Education","3","31","21","14","11","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5807,1945
"Worcester","MA","New England Commission on Higher Education","3","12","16","14","13","0","0","0","0","0","0","0","0","0",0,3,4,2,1,5552,1799
"Worcester","MA","New England Commission on Higher Education","3","12","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,1,5544,1805
"Adrian","MI","Higher Learning Commission","3","32","22","10","11","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5351,4292
"Albion","MI","Higher Learning Commission","3","31","21","12","11","0","0","0","0","0","0","0","0","0",0,3,3,2,3,5522,4514
"Hillsdale","MI","National Accrediting Commission of Career Arts and Sciences","1","32","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5367,4502
"Southfield","MI","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5691,4147
"Alma","MI","Higher Learning Commission","3","32","22","12","11","0","0","0","0","0","0","0","0","0",0,3,3,2,3,6068,4510
"Alpena","MI","Higher Learning Commission","2","41","14","6","6","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6342,4179
"Berrien Springs","MI","Higher Learning Commission","3","31","17","13","11","0","0","0","0","1","0","0","0","0",0,3,4,2,3,5390,4750
"Grand Rapids","MI","Higher Learning Commission","3","12","21","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5906,4623
"Flint","MI","Higher Learning Commission","2","21","18","5","12","0","0","0","0","0","0","0","0","0",0,2,4,2,3,5915,4227
"Escanaba","MI","Higher Learning Commission","2","33","4","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6425,4862
"Bay City","MI","National Accrediting Commission of Career Arts and Sciences","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,6107,4264
"Grand Rapids","MI","Higher Learning Commission","3","12","20","14","14","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5895,4613
"Grand Rapids","MI","Commission on Accrediting of the Association of Theological Schools","3","12","24","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,3,5893,4612
"Troy","MI","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5734,4114
"Farmington Hills","MI","Higher Learning Commission","3","13","26","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,3,5703,4166
"Mount Pleasant","MI","Higher Learning Commission","3","32","16","13","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,6105,4519
"Flint","MI","Higher Learning Commission","2","13","1","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5943,4220
"Grand Rapids","MI","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5951,4644
"Howell","MI","Higher Learning Commission","3","22","29","7","6","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5749,4257
"Bloomfield Hills","MI","Higher Learning Commission","3","21","30","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,3,5745,4153
"Detroit","MI","Higher Learning Commission","3","11","30","13","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5639,4103
"Grand Rapids","MI","Higher Learning Commission","3","21","18","5","12","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5863,4602
"Royal Oak","MI","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5696,4122
"University Center","MI","Higher Learning Commission","2","41","4","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6095,4282
"Riverview","MI","Accrediting Commission of Career Schools and Colleges","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5495,4135
"East Lansing","MI","American Bar Association","3","13","31","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,3,5813,4436
"Canton","MI","Accrediting Commission of Career Schools and Colleges","1","21","11","4","2","0","0","0","0","0","0","0","0","0",0,1,2,3,3,5562,4180
"Detroit","MI","Higher Learning Commission","3","11","17","13","13","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5665,4120
"Southgate","MI","Council on Occupational Education","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5507,4140
"Ypsilanti","MI","Higher Learning Commission","3","21","16","9","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5524,4205
"Flint","MI","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5922,4242
"Big Rapids","MI","Higher Learning Commission","3","32","17","7","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,6136,4592
"Flint","MI","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5949,4236
"Centreville","MI","Higher Learning Commission","2","42","6","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5347,4595
"Flint","MI","Higher Learning Commission","3","13","19","14","9","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5937,4230
"Ironwood","MI","Higher Learning Commission","2","41","7","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6457,5394
"Wyoming","MI","Association for Bibical Higher Educaiton","2","13","24","13","6","0","0","0","0","0","0","0","0","0",0,2,3,2,3,5888,4645
"Grand Rapids","MI","Higher Learning Commission","3","12","19","6","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5921,4617
"Grand Rapids","MI","Higher Learning Commission","2","12","4","1","4","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5911,4632
"Allendale","MI","Higher Learning Commission","3","21","18","13","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5909,4671
"Lansing","MI","Higher Learning Commission","3","21","24","11","8","0","0","0","0","0","0","0","0","0",0,3,3,2,3,5831,4505
"Dearborn","MI","Higher Learning Commission","2","13","14","5","12","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5591,4146
"Holland","MI","Higher Learning Commission","3","13","21","14","14","0","0","0","0","0","0","0","0","0",0,3,3,2,3,5842,4689
"Jackson","MI","Higher Learning Commission","2","41","14","5","9","0","0","0","0","0","0","0","0","0",0,2,3,1,3,5494,4412
"Kalamazoo","MI","Higher Learning Commission","3","13","21","14","11","0","0","0","0","0","0","0","0","0",0,3,3,2,3,5565,4619
"Kalamazoo","MI","Higher Learning Commission","2","22","1","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5512,4639
"Battle Creek","MI","Higher Learning Commission","2","13","4","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5603,4563
"Roscommon","MI","Higher Learning Commission","2","43","8","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6235,4419
"Monroe","MI","National Accrediting Commission of Career Arts and Sciences","1","23","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5361,4173
"Benton Harbor","MI","Higher Learning Commission","2","41","14","5","9","0","0","0","0","0","0","0","0","0",0,2,3,1,3,5464,4754
"Sault Ste Marie","MI","Higher Learning Commission","3","33","22","13","11","0","0","0","0","0","0","0","0","0",0,3,3,1,3,6458,4393
"Lansing","MI","Higher Learning Commission","2","12","4","1","4","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5823,4476
"Southfield","MI","Higher Learning Commission","3","13","18","9","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5694,4151
"Mount Pleasant","MI","National Accrediting Commission of Career Arts and Sciences","1","32","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,6110,4520
"Warren","MI","Higher Learning Commission","2","12","5","1","5","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5718,4076
"Livonia","MI","Higher Learning Commission","3","13","18","5","9","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5658,4172
"Detroit","MI","Higher Learning Commission","3","11","18","7","7","0","0","0","0","0","0","0","0","0",1,3,4,2,3,5666,4126
"Rochester Hills","MI","Higher Learning Commission","3","21","22","7","7","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5786,4121
"Ann Arbor","MI","Higher Learning Commission","3","12","15","14","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5553,4237
"Detroit","MI","Accrediting Commission of Career Schools and Colleges","1","11","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,2,3,5642,4119
"East Lansing","MI","Higher Learning Commission","3","13","15","14","16","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5819,4438
"Houghton","MI","Higher Learning Commission","3","33","16","14","14","0","0","0","0","0","0","0","0","0",0,3,4,1,3,6508,5188
"Dearborn","MI","Higher Learning Commission","3","13","18","9","12","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5586,4144
"Flint","MI","Higher Learning Commission","3","13","17","7","12","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5941,4226
"Harrison","MI","Higher Learning Commission","2","41","5","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6158,4517
"Monroe","MI","Higher Learning Commission","2","41","5","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5366,4186
"Sidney","MI","Higher Learning Commission","1","42","4","1","2","0","0","0","0","0","0","0","0","0",0,1,2,1,3,6057,4553
"Muskegon","MI","Higher Learning Commission","2","13","5","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6056,4718
"Petoskey","MI","Higher Learning Commission","2","41","2","1","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,6358,4536
"Marquette","MI","Higher Learning Commission","3","33","19","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,3,6459,4897
"Traverse City","MI","Higher Learning Commission","2","33","14","5","9","0","0","0","0","0","0","0","0","0",0,2,3,1,3,6269,4611
"Midland","MI","Higher Learning Commission","3","13","29","9","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,6121,4350
"Bloomfield Hills","MI","Higher Learning Commission","2","21","3","1","4","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5759,4150
"Rochester Hills","MI","Higher Learning Commission","3","21","16","13","15","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5791,4141
"Olivet","MI","Higher Learning Commission","3","42","22","12","11","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5680,4533
"Waterford","MI","National Accrediting Commission of Career Arts and Sciences","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5805,4171
"Grand Rapids","MI","Higher Learning Commission","3","21","22","13","8","0","0","0","0","0","0","0","0","0",0,3,3,2,3,5946,4616
"Lansing","MI","Accrediting Bureau of Health Education Schools","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5825,4493
"Madison Heights","MI","Accrediting Bureau of Health Education Schools","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5719,4112
"Flint","MI","Accrediting Bureau of Health Education Schools","1","21","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5926,4241
"Detroit","MI","Higher Learning Commission","1","11","24","5","6","0","0","0","0","0","0","0","0","0",0,1,4,2,3,5653,4113
"University Center","MI","Higher Learning Commission","3","22","18","13","13","0","0","0","0","0","0","0","0","0",0,3,4,1,3,6086,4276
"Livonia","MI","Higher Learning Commission","2","13","14","5","12","0","0","0","0","0","0","0","0","0",0,2,3,1,3,5668,4175
"Adrian","MI","Higher Learning Commission","3","32","20","5","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5359,4287
"Port Huron","MI","Higher Learning Commission","2","23","2","1","3","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5920,3949
"Dowagiac","MI","Higher Learning Commission","2","41","1","2","2","0","0","0","0","0","0","0","0","0",0,2,2,1,3,5392,4686
"Southfield","MI","Accrediting Commission of Career Schools and Colleges","1","13","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5687,4148
"Spring Arbor","MI","Higher Learning Commission","3","23","18","9","10","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5504,4482
"Plainwell","MI","Council on Occupational Education","1","42","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,1,3,5717,4601
"Hancock","MI","Higher Learning Commission","3","33","22","11","8","0","0","0","0","0","0","0","0","0",0,3,3,2,3,6509,5191
"Lansing","MI","American Bar Association","3","12","31","0","18","0","0","0","0","0","0","0","0","0",0,4,4,2,3,5818,4481
"Saint Joseph","MI","National Accrediting Commission of Career Arts and Sciences","1","23","-2","-2","-2","0","0","0","0","0","0","0","0","0",0,1,1,3,3,5443,4768
"Troy","MI","Higher Learning Commission","3","13","29","5","6","0","0","0","0","0","0","0","0","0",0,3,4,2,3,5747,4123
"Ann Arbor","MI","Higher Learning Commission","1","21","2","1","4","0","0","0","0","0","0","0","0","0",0,1,2,1,3,5541,4215
"Detroit","MI","Higher Learning Commission","2","11","2","1","4","0","1","0","0","0","0","0","0","0",0,2,2,1,3,5596,4100
"Detroit","MI","Higher Learning Commission","3","11","15","9","15","0","0","0","0","0","0","0","0","0",0,3,4,1,3,5637,4105
